example_id                                            | status | run_time        |
----------------------------------------------------- | ------ | --------------- |
./spec/integration/class_enhancement_spec.rb[1:1:1:1] | passed | 0.00011 seconds |
./spec/integration/class_enhancement_spec.rb[1:1:2:1] | passed | 0.0001 seconds  |
./spec/integration/class_enhancement_spec.rb[1:2:1:1] | passed | 0.00014 seconds |
./spec/integration/class_enhancement_spec.rb[1:2:2:1] | passed | 0.0001 seconds  |
./spec/integration/matcher_spec.rb[1:1:1]             | passed | 0.00017 seconds |
./spec/integration/matcher_spec.rb[1:1:2]             | passed | 0.0001 seconds  |
./spec/integration/matcher_spec.rb[1:1:3]             | passed | 0.00122 seconds |
./spec/integration/matcher_spec.rb[1:1:4:1]           | passed | 0.00009 seconds |
./spec/integration/matcher_spec.rb[1:1:4:2]           | passed | 0.00147 seconds |
./spec/integration/result_matcher_spec.rb[1:1:1:1]    | passed | 0.00012 seconds |
./spec/integration/result_matcher_spec.rb[1:1:2:1]    | passed | 0.00008 seconds |
./spec/integration/result_matcher_spec.rb[1:1:3:1:1]  | passed | 0.00015 seconds |
./spec/integration/result_matcher_spec.rb[1:1:3:2:1]  | passed | 0.00017 seconds |
./spec/unit/case_spec.rb[1:1:1]                       | passed | 0.00087 seconds |
./spec/unit/case_spec.rb[1:2:1]                       | passed | 0.00008 seconds |
./spec/unit/case_spec.rb[1:2:2]                       | passed | 0.00056 seconds |
